,Entries,Pronunciations,Generated Pron,Tones,Generated Tones,Absolutives,Generated Abs,Grammatical Info,Gloss
2817,kʼasitʼacʼaʔyaw,kʼasitʼácʼaʔyaw,kʼasitʼácʼaʔyaw,,3,kʼasitʼacʼaʔyaw,kʼasitʼacʼaʔyaw,,
2818,*kʼasitʼad,kʼasitʼá·du,kʼasitʼá·du,,3,kʼasitʼa·du,kʼasitʼa·du,Verb,be bothersome
2819,kʼasitʼaʔcʼaʔyaw,kʼasitʼáʔcʼaʔyaw,kʼasitʼáʔcʼaʔyaw,,3,kʼasitʼaʔcʼaʔyaw,kʼasitʼaʔcʼaʔyaw,Noun,pesky
2820,kʼasitʼaʔcʼaʔyawi,,kʼasitʼáʔcʼaʔyawi,,3,,kʼasitʼaʔcʼaʔyawi,,
2821,*kʼasitʼaʔcʼaʔyawi,kʼasitʼáʔcʼaʔyawiw,kʼasitʼáʔcʼaʔyawiw,,3,kʼasitʼaʔcʼaʔyawiw,kʼasitʼaʔcʼaʔyawiw,Verb,be pest
2822,*kʼasitʼa·la,,kʼasitʼá·law,,3,,kʼasitʼa·law,Verb,beome bothersome
2823,kʼaš,kʼáš,kʼáš,,0,kʼaš,kʼaš,Adjective,rustle
2824,*kʼašiṭ,kʼašíʔ,kʼašíʔ,,3,kʼašiʔ,kʼašiʔ,Verb,be scattered
2825,kʼaṭʰide,kʼáṭʰide,kʼaṭʰidé,,1,kʼaṭʰide,kʼaṭʰide,,
2826,kʼaṭʰinʔ,kʼaṭʰínʔ,kʼaṭʰínʔ,,0,kʼaṭʰinʔ,kʼaṭʰinʔ,Kinship Noun,tiptoe
2827,*kʼaʔdawaq,,kʼaʔdawáʔ,,3,,kʼaʔdawaʔ,Kinship Noun,go look for
2828,*kʼe·šci,kʼešcíw,kʼešcíw,,0,kʼešciw,kʼešciw,Verb,look for
2829,*kʼe·šma,kʼešmáw,kʼešmáw,,0,kʼešmaw,kʼešmaw,Verb,look across
2830,kʼidi·,kʼidi·´,kʼidi·´,,4,kʼidi·,kʼidi·,Noun,rustle
2831,*kʼihtʰic,,kʼihtʰíʔ,,3,,kʼihtʰiʔ,Verb,get dark
2832,*kʼihtʰicci,kʼihtʰícciw,kʼihtʰícciw,,3,kʼihtʰicciw,kʼihtʰicciw,Verb,barely see
2833,kʼilima,kʼilimá,kʼilimá,,3,kʼilima,kʼilima,Adjective,paint self black
2834,kʼiš,kʼíš,kʼíš,,0,kʼiš,kʼiš,,
2835,*kʼiši,,kʼišíw,,0,,kʼišiw,Verb,burble
2836,*kʼiši·m,kʼišimʔ´,kʼišimʔ´,,3,kʼišimʔ,kʼišimʔ,Verb,be very hot
2837,kʼiwili,kʼiwilí,kʼiwilí,,3,kʼiwili,kʼiwili,Noun,be dip in spot
2838,kʼoce·ma,kʼoce·ma´,kʼoce·ma´,,4,kʼoce·ma,kʼoce·ma,Noun,be indented
2839,*kʼohtohto,kʼohtóhtow,kʼohtóhtow,,3,kʼohtohtow,kʼohtohtow,Reduplicating Verb,be indented
2840,*kʼolokʼolo,kʼolokʼólow,kʼolokʼólow,,3,kʼolokʼólow,kʼolokʼolow,Reduplicating Verb,keep on sounding sound of something hard in bag or box
2841,kʼolomʔ,,kʼolómʔ,,3,,kʼolomʔ,Noun,bob up and down
2842,*kʼopoškʼopoša·tad,kʼopóškʼopoša·tadu,kʼopóškʼopoša·tadu,,3,kʼopoškʼopoša·tadu,kʼopoškʼopoša·tadu,,
2843,*kʼopoškʼopošma,,kʼopóškʼopošmaw,,3,,kʼopoškʼopošmaw,,
2844,kʼopʼkʼopʼ,kʼópʼkʼopʼ,kʼópʼkʼoʔ,,1,kʼopʼkʼopʼ,kʼopʼkʼoʔ,Noun,be rough land
2845,kʼoṭo·ṭo,kʼoṭo·ṭo´,kʼoṭo·ṭo´,,4,kʼoṭo·ṭo,kʼoṭo·ṭo,Noun,be getting stale or spoiled
2846,*kʼoʔwikʼoʔwi,kʼoʔwíkʼoʔwiw,kʼoʔwikʼóʔwiw,,2,kʼoʔwikʼoʔwiw,kʼoʔwikʼoʔwiw,Verb,train struggle uphill
2847,kʼude,kʼúde,kʼude´,,1,kʼude,kʼude,,
2848,kʼunʔ,kʼúnʔ,kʼúnʔ,,0,kʼunʔ,kʼunʔ,Kinship Noun,knot
2849,*kʼuṭʰutam,,kʼuṭʰutámʔ,,3,,kʼuṭʰutamʔ,,
2850,*kʼuṭʰu·m,kʼuṭʰumʔ´,kʼuṭʰumʔ´,,3,kʼuṭʰumʔ,kʼuṭʰumʔ,Verb,tin can ?
2851,lebaṭʰe,lebaṭʰé,lebaṭʰé,,3,lebaṭʰe,lebaṭʰe,,
2852,lebaṭʰe·,lebaṭʰé·,lebaṭʰé·,,3,lebaṭʰe·,lebaṭʰe·,Noun,do fourth part of feather dance
2853,likʼli,likʼli´,likʼli´,,3,likʼli,likʼli,Noun,marrow
2854,lipʰuyhya,lipʰúyhya,lipʰúyhya,,3,lipʰuy hya,lipʰuyhya,Noun,walk bouncing rhythmically
2855,*liti,,litíw,,3,,litiw,Verb,quiver
2856,*litiliti,litilítiw,litilítiw,,3,litilitiw,litilitiw,Reduplicating Verb,quiver
2857,*litilitic,,litilítiʔ,,3,,litilitiʔ,Adjective,wobbly
2858,*litima·tad,litimá·tadu,litimá·tadu,,3,litima·tadu,litima·tadu,,
2859,*liti·m,litimʔ´,litimʔ´,,3,litimʔ,litimʔ,Verb,quiver
2860,liʔši,liʔšíw,liʔši´,,2,liʔšiw,liʔši,,
2861,li·ma,lí·ma,li·ma´,1,1,li·ma,li·ma,Noun,be baggy
2862,*lowa·loqocʼ,lowá·loqoʔ,lowá·loqoʔ,,0,lowa·loqoʔ,lowa·loqoʔ,Verb,?
2863,ma,ma´,ma´,,0,ma,ma,Pronoun,address in paternal grandfather relation
2864,*mabasʼaq,mabasʼáʔ,mabasʼáʔ,,3,mabasʼaʔ,mabasʼaʔ,Kinship Verb,call someone father’s father
2865,*mabasʼa·tahmucʼ,mabasʼá·tahmuʔ,mabasʼá·tahmuʔ,,3,mabasʼa·tahmuʔ,mabasʼa·tahmuʔ,,
2866,*mabasʼa·taq,mabasʼá·taʔ,mabasʼá·taʔ,,3,mabasʼa·taʔ,mabasʼa·taʔ,,
2867,mabasʼe·yi,mabasʼé·yi,mabasʼé·yi,,3,mabasʼe·yi,mabasʼe·yi,,
2868,maba·,maba·´,maba·´,,4,maba·,maba·,Kinship Noun,"spade ground, open fround by stepping on (a spade)"
2869,maba·l,mabal´,mabal´,,3,mabal,mabal,,
2870,*maba·q,mabaʔ´,mabaʔ´,,3,mabaʔ,mabaʔ,Kinship Verb,acknowledge someone as father-in-law
2871,maba·sʼ,mabasʼ´,mabasʼ´,,3,mabasʼ,mabasʼ,Kinship Noun,grope with foot
2872,*mabet,mabéʔ,mabéʔ,,3,mabeʔ,mabeʔ,,
2873,*mabetad,mabetá·du,mabetá·du,,3,mabeta·du,mabeta·du,Verb,feel with foot
2874,*mabihci,mabíhciw,mabíhciw,,3,mabihciw,mabihciw,,
2875,*mabihcim,,mabíhcimʔ,,3,,mabihcimʔ,,
2876,*mabilta,mabíltaw,mabíltaw,,3,mabiltaw,mabiltaw,,
2877,*mabi·c,mabiʔ´,mabiʔ´,,3,mabiʔ,mabiʔ,Verb,pedal
2878,*mac,máʔ,máʔ,,0,maʔ,maʔ,Verb,go in hence
2879,*mac,máʔ,máʔ,,0,maʔ,maʔ,Verb of Movement,acknowledge each other as chans
2880,*macadaq,macadáʔ,macadáʔ,,3,macadaʔ,macadaʔ,Verb,call chan
2881,*macada·tahmucʼ,macadá·tahmuʔ,macadá·tahmuʔ,,3,macada·tahmuʔ,macada·tahmuʔ,,
2882,macadel,macadél,macadél,,3,macadel,macadel,,
2883,macadeʔkʰe,macadéʔkʰe,macadéʔkʰe,,3,macadeʔkʰe,macadeʔkʰe,,
2884,macadeʔna,macadéʔna,macadéʔna,,3,macadeʔna,macadeʔna,,
2885,macade·yi,macadé·yi,macadé·yi,,3,macade·yi,macade·yi,,
2886,macanʔ,macánʔ,macánʔ,,0,macanʔ,macanʔ,Kinship Noun,acknowledge as mother’s father
2887,macasʼe·yi,macasʼé·yi,macasʼé·yi,,3,macasʼe·yi,macasʼe·yi,,
2888,*macat,,macáʔ,,3,macaʔ,macaʔ,Verb,search
2889,*macatad,macatá·du,macatá·du,,3,macata·du,macata·du,Verb,call e.o. uncle and nephew
2890,*macekiq,macekíʔ,macekíʔ,,3,macekiʔ,macekiʔ,Kinship Verb,call uncle
2891,*maceki·tahmucʼ,macekí·tahmuʔ,macekí·tahmuʔ,,3,maceki·tahmuʔ,maceki·tahmuʔ,,
2892,*maceki·taq,macekí·taʔ,macekí·taʔ,,3,maceki·taʔ,maceki·taʔ,,
2893,maceki·yi,macekí·yi,macekí·yi,,3,maceki·yi,maceki·yi,,
2894,*macet,macéʔ,macéʔ,,3,maceʔ,maceʔ,,
2895,*maceticʼ,macetíʔ,macetíʔ,,3,macetiʔ,macetiʔ,,
2896,*mace·,macew´,macew´,,3,macew,macew,Verb,protect oneself
2897,mace·ki,mace·ki´,mace·ki´,,4,mace·ki,mace·ki,Kinship Noun,watch over
2898,maci,maci,maci´,,3,maci,maci,Noun,become day
2899,*maci·tad,,macitá·du,,3,,macita·du,,
2900,*maco,maców,maców,,3,macow,macow,Verb,crush with foot
2901,*macot,macóʔ,macóʔ,,3,macoʔ,macoʔ,,
2902,*macusʼaq,macusʼáʔ,macusʼáʔ,,3,macusʼaʔ,macusʼaʔ,Kinship Verb,call one's uncle
2903,macusʼe·yi,macusʼé·yi,macusʼé·yi,,3,macusʼe·yi,macusʼe·yi,,
2904,macu·sʼ,macusʼ´,macusʼ´,,3,macusʼ,macusʼ,Kinship Noun,grab in hand
2905,*macʰi,macʰíʔ,macʰíw,,2,macʰiʔ,macʰiw,,
2906,macʰiṭiʔṭi,macʰíṭiʔṭi,macʰiṭíʔṭi,0,2,macʰiṭiʔṭi,macʰiṭiʔṭi,Noun,pull out with foot
2907,*macʰul,macʰúlʔ,macʰúlʔ,,3,macʰulʔ,macʰulʔ,Verb,dig out several things with sole of foot
2908,*macʰulʔta,macʰúlʔtaw,macʰúlʔtaw,,3,macʰulʔtaw,macʰulʔtaw,,
2909,*macʼah,macʼáh,macʼáʔ,,2,macʼah,macʼaʔ,,
2910,*macʼahni,macʼáhn,macʼáhniw,,2,macʼahn,macʼahniw,,
2911,*macʼal,macʼálʔ,macʼálʔ,,3,macʼalʔ,macʼalʔ,Verb,separate but remain attached with foot
2912,*macʼalta,macʼáltaw,macʼáltaw,,3,macʼaltaw,macʼaltaw,,
2913,*macʼa·ṭ,macʼaʔ´,macʼaʔ´,,3,macʼaʔ,macʼaʔ,Verb,mix with feet
2914,*macʼohli,macʼóhliw,macʼóhliw,,3,macʼohliw,macʼohliw,,
2915,*macʼonta,macʼóntaw,macʼóntaw,,3,macʼontaw,macʼontaw,,
2916,*macʼoqʰot,macʼoqʰóʔ,macʼoqʰóʔ,,3,macʼoqʰoʔ,macʼoqʰoʔ,,
2917,*macʼot,macʼóʔ,macʼóʔ,,3,macʼoʔ,macʼoʔ,,
2918,*macʼotam,macʼotámʔ,macʼotámʔ,,3,macʼotamʔ,macʼotamʔ,,
2919,*macʼotʰqo,macʼótʰqow,macʼótʰqow,,3,macʼotʰqow,macʼotʰqow,,
2920,*macʼo·,macʼow´,macʼow´,,3,macʼow,macʼow,Verb,expose by stepping on
2921,*macʼo·,macʼow´,macʼow´,,3,macʼow,macʼow,Verb,transform by walking
2922,*macʼo·cʼ,macʼoʔ´,macʼoʔ´,,3,macʼoʔ,macʼoʔ,Verb,expose one's feet
2923,*macʼo·m,macʼomʔ´,macʼomʔ´,,3,macʼomʔ,macʼomʔ,Verb,tear in two with hands
2924,*macʼo·q,macʼoʔ´,macʼoʔ´,,3,macʼoʔ,macʼoʔ,Verb,step on something sharp
2925,*macʼo·ṭ,macʼoʔ´,macʼoʔ´,,3,macʼoʔ,macʼoʔ,Verb,grab big bunch
2926,*macʼu·l,macʼulʔ´,macʼulʔ´,,3,macʼulʔ,macʼulʔ,Verb,step on to hurt
2927,madeki·yi,madekí·yi,madekí·yi,,3,madeki·yi,madeki·yi,,
2928,*made·cʼ,madeʔ´,madeʔ´,,3,madeʔ,madeʔ,,
2929,*made·d,made·du´,made·du´,,4,made·du,made·du,Verb of Handling,span with foot
2930,mahceye,mahceyé,mahceyé,,3,mahceye,mahceye,Kinship Noun,acknowledge someone as son-in-law
2931,mahceyeʔkʰe,mahceyéʔkʰe,mahceyéʔkʰe,,3,mahceyeʔkʰe,mahceyeʔkʰe,,
2932,mahceyeʔna,mahceyéʔna,mahceyéʔna,,3,mahceyeʔna,mahceyeʔna,,
2933,mahceye·yi,mahceyé·yi,mahceyé·yi,,3,mahceye·yi,mahceye·yi,,
2934,mahcomʔ,mahcómʔ,mahcómʔ,,3,mahcomʔ,mahcomʔ,Noun,scavenge
2935,mahcuṭʼki,mahcúṭʼki,mahcúṭʼki,,3,mahcuṭʼki,mahcuṭʼki,Kinship Noun,call someone sister's son
2936,mahcuṭʼkiyi,mahcúṭʼkiyi,mahcúṭʼkiyi,,3,mahcuṭʼkiyi,mahcuṭʼkiyi,,
2937,mahcuṭʼkiʔkʰe,mahcúṭʼkiʔkʰe,mahcúṭʼkiʔkʰe,,3,mahcuṭʼkiʔkʰe,mahcuṭʼkiʔkʰe,,
2938,mahcuṭʼkiʔna,mahcúṭʼkiʔna,mahcúṭʼkiʔna,,3,mahcuṭʼkiʔna,mahcuṭʼkiʔna,,
2939,mahcʰa,mahcʰa´,mahcʰa´,,3,mahcʰa,mahcʰa,Adverb,escape
2940,*mahcʰa,mahcʰáw,mahcʰáw,,3,mahcʰaw,mahcʰaw,Verb,push over with bottom of foot
2941,*mahcʰahcʰac,mahcʰáhcʰaʔ,mahcʰáhcʰaʔ,,3,mahcʰahcʰaʔ,mahcʰahcʰaʔ,Verb,crumble with foot
2942,*mahcʰahqa,mahcʰáhqaw,mahcʰáhqaw,,3,mahcʰahqaw,mahcʰahqaw,Verb,scare something away
2943,*mahcʰamacʰatad,mahcʰamácʰata·du,mahcʰamácʰata·du,,3,mahcʰamacʰata·du,mahcʰamacʰata·du,Verb,be hurt by stepping on
2944,*mahcʰohcʰoc,mahcʰóhcʰoʔ,mahcʰóhcʰoʔ,,3,mahcʰohcʰoʔ,mahcʰohcʰoʔ,Reduplicating Verb,wear out something by walking on it
2945,*mahcʰot,mahcʰóʔ,mahcʰóʔ,,3,mahcʰoʔ,mahcʰoʔ,Verb,feet give out
2946,*mahke,mahkéw,mahkéw,,3,mahkew,mahkew,Verb,foot not go all way in
2947,*mahkem,mahkémʔ,mahkémʔ,,3,mahkemʔ,mahkemʔ,Verb,"project, stick out"
2948,*mahkohko,mahkóhkow,mahkóhkow,,3,mahkohkow,mahkohkow,Reduplicating Verb,tap with bottom of foot
2949,*mahkolhci,mahkólhciw,mahkólhciw,,3,mahkolhciw,mahkolhciw,Verb,loosen with foot
2950,*mahkomahkotad,mahkomákota·du,mahkomáhkota·du,,3,mahkomakota·du,mahkomahkota·du,,
2951,*mahkotʰci,mahkótʰciw,mahkótʰciw,,3,mahkotʰciw,mahkotʰciw,Verb,wear by walking
2952,*mahkʰiṭʼ,,mahkʰíʔ,,3,,mahkʰiʔ,Verb,strain foot
2953,*mahkʰiṭʼcicʼ,mahkʰiṭʼciʔ,mahkʰíṭʼciʔ,,3,mahkʰiʔ,mahkʰiṭʼciʔ,Verb,strain foot
2954,*mahkʰo,mahkʰów,mahkʰów,,3,mahkʰow,mahkʰow,Verb,catch with sole of foot
2955,*mahlo,mahlów,mahlów,,3,mahlow,mahlow,Verb,detach with mouth
2956,mahmo,mahmo´,mahmo´,,3,mahmo,mahmo,Place Name,try with foot repeatedly
2957,*mahnat,mahnáʔ,mahnáʔ,,3,mahnaʔ,mahnaʔ,Verb,try with foot
2958,*mahnataʔ,mahnatáʔ,mahnatáʔ,,3,mahnataʔ,mahnataʔ,,
2959,*mahpahpa,mahpáhpaw,mahpáhpaw,,3,mahpahpaw,mahpahpaw,Reduplicating Verb,pat repeatedly with foot
2960,*mahpana·tad,mahpaná·tadu,mahpaná·tadu,,3,mahpana·tadu,mahpana·tadu,,
2961,*mahpanh,mahpánʔ,mahpánʔ,,3,mahpanʔ,mahpanʔ,Verb,compress with foot
2962,*mahpo,mahpów,mahpów,,3,mahpow,mahpow,Verb,overflow by stepping into
2963,*mahponpoloc,mahpónpoloʔ,mahpónpoloʔ,,3,mahponpoloʔ,mahponpoloʔ,Verb,make painfully swollen by walking about
2964,mahpʰanki,mahpʰánki,mahpʰánki,,3,mahpʰanki,mahpʰanki,Kinship Noun,sink into with foot
2965,*mahpʰuṭay,mahpʰuṭáyʔ,mahpʰuṭáyʔ,,3,mahpʰuṭayʔ,mahpʰuṭayʔ,Verb,be unable to finish walking
2966,*mahpʰuṭʼ,mahpʰúʔ,mahpʰúʔ,,3,mahpʰuʔ,mahpʰuʔ,Verb,lose control of feet
2967,*mahpʰuy,mahpʰúyʔ,mahpʰúyʔ,,3,mahpʰuyʔ,mahpʰuyʔ,Verb,quicky thrust foot into something
2968,*mahpʰu·,,mahpʰuw´,,3,,mahpʰuw,Verb,thrust foot into something yielding while falling
2969,*mahqa,mahqáw,mahqáw,,3,mahqaw,mahqaw,Verb,bend or sprain ankle
2970,*mahqoyʔci,mahqóyʔciw,mahqóyʔciw,,3,mahqoyʔciw,mahqoyʔciw,Verb,sprain ankle
2971,*mahqʰahqʰa,mahqʰáhqʰaw,mahqʰáhqʰaw,,3,mahqʰahqʰaw,mahqʰahqʰaw,Reduplicating Verb,slide feet
2972,*mahqʰamahqʰa,mahqʰamáhqʰaw,mahqʰamáhqʰaw,,3,mahqʰamahqʰaw,mahqʰamahqʰaw,Reduplicating Verb,shuffle along
2973,*mahqʰamaqʰata·d,mahqʰamáqʰata·d,mahqʰamáqʰata·du,,3,mahqʰamaqʰata·d,mahqʰamaqʰata·du,,
2974,*mahqʰayala,mahqʰayá·law,mahqʰayálaw,,3,mahqʰaya·law,mahqʰayalaw,Verb,slide downward on feet
2975,*mahqʰayʔ,,mahqʰáyʔ,,3,,mahqʰayʔ,Verb,slide on feet
2976,*mahqʰayʔma,mahqʰáyʔmaw,mahqʰáyʔmaw,,3,mahqʰayʔmaw,mahqʰayʔmaw,Verb,slide across on feet
2977,*mahsa,mahsáw,mahsáw,,3,mahsaw,mahsaw,Verb of Handling,step on something in way
2978,*mahsacʼ,mahsáʔ,mahsáʔ,,3,mahsaʔ,mahsaʔ,,
2979,*mahsad,mahsadú,mahsadú,,3,mahsadu,mahsadu,Verb,take away from
2980,*mahsakʼat,mahsakʼáʔ,mahsakʼáʔ,,3,mahsakʼaʔ,mahsakʼaʔ,Verb,bounce with foot
2981,*mahsam,mahsámʔ,mahsámʔ,,3,mahsamʔ,mahsamʔ,Verb of Handling,many to project
2982,mahsic,mahsíʔ,mahsíʔ,,3,mahsiʔ,mahsiʔ,Noun,bounce through air with foot
2983,*mahsim,mahsímʔ,mahsímʔ,,3,mahsimʔ,mahsimʔ,Verb,mess up with foot
2984,*mahsoq,mahsóʔ,mahsóʔ,,3,mahsoʔ,mahsoʔ,Verb,encase
2985,*mahšahša,mahšáhšaw,mahšáhšaw,,3,mahšahšaw,mahšahšaw,Reduplicating Verb,trample
2986,*mahšamahša,mahšamáhšaw,mahšamáhšaw,,3,mahšamahšaw,mahšamahšaw,Reduplicating Verb,rustle something while walking on it
2987,*mahšan,mahšánʔ,mahšánʔ,,3,mahšanʔ,mahšanʔ,Verb,scatter small objects with sole of foot
2988,*mahšolh,mahšólʔ,mahšólʔ,,3,mahšolʔ,mahšolʔ,Verb,come loose off foot
2989,*mahšukʼuṭ,mahšukʼúʔ,mahšukʼúʔ,,3,mahšukʼuʔ,mahšukʼuʔ,Verb,walking slowly
2990,mahtaqan,mahtaqán,mahtaqán,,3,mahtaqan,mahtaqan,Adverb,touch with foot
2991,mahtaʔ qʰaʔbel,mahtáʔ qʰaʔbel,mahtáʔ qʰaʔbel,,3,mahtaʔ qʰaʔbel,mahtaʔ qʰaʔbel,Place Name,stomp ground
2992,*mahtenh,mahténʔ,mahténʔ,,3,mahtenʔ,mahtenʔ,Verb,flatten with feet
2993,*mahtʰa,mahtʰáw,mahtʰáw,,3,mahtʰaw,mahtʰaw,Verb,get somewhere quick by walking
2994,*mahtʰihtʰic,mahtʰíhtʰiʔ,mahtʰíhtʰiʔ,,3,mahtʰihtʰiʔ,mahtʰihtʰiʔ,Verb,stamp with foot
2995,*mahṭolh,mahṭólʔ,mahṭólʔ,,3,mahṭolʔ,mahṭolʔ,Verb,make noise with feet
2996,*mahṭʰa,mahṭʰáw,mahṭʰáw,,3,mahṭʰaw,mahṭʰaw,Verb,wear open with sole of foot
2997,mahṭʰe,mahṭʰe´,mahṭʰe´,,3,mahṭʰe,mahṭʰe,Kinship Noun,dawdle
2998,*mahwemahwe,mahwemáhwew,mahwemáhwew,,3,mahwemahwew,mahwemahwew,Reduplicating Verb,walk along shaking
2999,mahwenmucʼ,mahwénmuʔ,mahwénmuʔ,,3,mahwenmuʔ,mahwenmuʔ,Noun,shake with foot
3000,*mahwi,mahwíw,mahwíw,,3,mahwiw,mahwiw,Verb,stir
3001,*mahyo·c,mahyoʔ´,mahyoʔ´,,3,mahyoʔ,mahyoʔ,Verb,stir with sole of foot
3002,mahyuṭʰmaw,mahyúṭʰmaw,mahyúṭʰmaw,,3,mahyuṭʰmaw,mahyuṭʰmaw,,
3003,maka·ka,maka·ka´,maka·ka´,,4,maka·ka,maka·ka,Noun,with foot to take of corner
3004,maki,maki´,maki´,,3,maki,maki,Kinship Noun,break off branches with hand
3005,makʰle,mákʰle,makʰle´,,1,makʰle,makʰle,Noun,call friend
3006,makʼadel,makʼadél,makʼadél,,3,makʼadel,makʼadel,,
3007,makʼadeʔkʰe,makʼadéʔkʰa,makʼadéʔkʰe,,3,makʼadeʔkʰe,makʼadeʔkʰe,,
3008,makʼadeʔna,makʼadéʔna,makʼadéʔna,,3,makʼadeʔna,makʼadeʔna,,
3009,makʼade·yi,makʼadé·yi,makʼadé·yi,,3,makʼade·yi,makʼade·yi,,
3010,makʼahci,maʔkʼáhciw,makʼáhci,,2,maʔkʼahciw,makʼahci,,
3011,*makʼahli,makʼáhliw,makʼáhliw,,3,makʼahliw,makʼahliw,,
3012,*makʼahni,makʼáhniw,makʼáhniw,,3,makʼahniw,makʼahniw,,
3013,*makʼal,makʼálʔ,makʼálʔ,,3,makʼalʔ,makʼalʔ,Verb,open slightly with foot
3014,makʼanʔ,makʼánʔ,makʼánʔ,,0,makʼanʔ,makʼanʔ,Kinship Noun,overpress with foot
3015,*makʼihši,makʼíhšiw,makʼíhšiw,,3,makʼihšiw,makʼihšiw,,
3016,*makʼit,makʼíʔ,makʼíʔ,,3,makʼiʔ,makʼiʔ,,
3017,*makʼi·,makʼiw´,makʼiw´,,3,makʼiw,makʼiw,Verb,walk on crunchy surface [?AS]
3018,mal,mál,mál,,0,mal,mal,Numeral,be a year
3019,mala,mala´,mala´,,3,mala,mala,Adverb,slip on something wet with feet
3020,*malayama,malayámaw,malayámaw,,3,malayamaw,malayamaw,,
3021,mala·,mala·´,mala·´,,4,mala·,mala·,Adjective,(year) end
3022,*mala·qac,mala·qáʔ,malá·qaʔ,,0,mala·qaʔ,mala·qaʔ,Verb,become new year
3023,mala·tow,mala·tów,mala·tów,,4,mala·tow,mala·tow,Adposition,coat with sole of foot; with butt of hand
3024,*malucʰma,malúcʰmaw,malúcʰmaw,,3,malucʰmaw,malucʰmaw,,
3025,*malum,malúmʔ,malúmʔ,,3,malumʔ,malumʔ,Verb,put shapeless substance with sole of foot; with butt of hand
3026,*mama,mamáw,mamáw,,3,mamaw,mamaw,Verb,be (weather)
3027,*mamadicʼ,mamadíʔ,mamadíʔ,,3,mamadiʔ,mamadiʔ,Verb,visit
3028,*mane,manéw,manéw,,3,manew,manew,Verb,treat (with medicine song)
3029,*manet,manéʔ,manéʔ,,3,maneʔ,maneʔ,,
3030,*manetanʔqa,,manetánʔqaw,,3,,manetanʔqaw,Verb,pet
3031,mane·la·li,mane·lá·li,mane·lá·li,,4,mane·la·li,mane·la·li,Noun,feel slick to sole of foot
3032,maqasʼe·yi,maqasʼé·yi,maqasʼé·yi,,3,maqasʼe·yi,maqasʼe·yi,,
3033,*maqawa·tad,maqawá·tadu,maqawá·tadu,,3,maqawa·tadu,maqawa·tadu,,
3034,maqa·sʼ,maqasʼ´,maqasʼ´,,3,maqasʼ,maqasʼ,Kinship Noun,uproot several with foot
3035,*maqʰo·c,,maqʰoʔ´,,3,,maqʰoʔ,Verb,uproot one with foot
3036,*maqʼahci,maqʼáhciw,maqʼáhciw,,3,maqʼahciw,maqʼahciw,,
3037,*maqʼa·,,maqʼaw´,,3,,maqʼaw,Verb,protect
3038,*maqʼa·m,maqʼamʔ´,maqʼamʔ´,,3,maqʼamʔ,maqʼamʔ,Verb,FRAGMENT
3039,*masisil,masisílʔ,masisílʔ,,3,masisilʔ,masisilʔ,Verb,make smooth foot
3040,*masʼuy,masʼúyʔ,masʼúyʔ,,3,masʼuyʔ,masʼuyʔ,Verb,make noise walking
3041,*maša·m,mašamʔ´,mašamʔ´,,3,mašamʔ,mašamʔ,Verb,be lukewarm
3042,*mašohli,mašohlíw,mašóhliw,,3,mašohliw,mašohliw,,
3043,mašoya,mašoyá,mašoyá,,3,mašoya,mašoya,Noun,feel strange to feet
3044,*mašuda·tad,mašudá·tadu,mašudá·tadu,,3,mašuda·tadu,mašuda·tadu,,
3045,*mašukʼuṭ,mašukʼúʔ,mašukʼúʔ,,3,mašukʼuʔ,mašukʼuʔ,,
3046,mašusʼe·yi,mašusʼé·yi,mašusʼé·yi,,3,mašusʼe·yi,mašusʼe·yi,,
3047,mašu·sʼ,mašusʼ´,mašusʼ´,,3,mašusʼ,mašusʼ,Kinship Noun,flatten by stepping on
3048,*matayʔta,mahtáyʔtaw,matáyʔtaw,,2,mahtayʔtaw,matayʔtaw,,
3049,mata·me,máta·me,mata·me´,,1,mata·me,mata·me,,
3050,mata·menʔ,matá·menʔ,mata·ménʔ,,2,mata·menʔ,mata·menʔ,Kinship Noun,twist
3051,*mati·t,matiʔ´,matiʔ´,,3,matiʔ,matiʔ,Verb,roll with sole of foot; with butt of hand
3052,mati·yu,matí·yu,mati·yu´,,2,mati·yu,mati·yu,,
3053,mattiryu,mattíryu,mattíryu,,3,mattiryu,mattiryu,,
3054,*matumatuc,matumátuʔ,matumátuʔ,,3,matumatuʔ,matumatuʔ,Reduplicating Verb,stuff with feet
3055,matʰamʔ,matʰámʔ,matʰámʔ,,3,matʰamʔ,matʰamʔ,Noun,tear but not necessarily apart with sole of foot
3056,matʰi·,matʰi·´,matʰi·´,,4,matʰi·,matʰi·,Adjective,go blind
3057,*matʰi·cʰqa,,matʰicʰqáw,,3,,matʰicʰqaw,Verb,blind (someone)
3058,*matʰma,mátʰmaw,matʰmáw,,1,matʰmaw,matʰmaw,,
3059,*matʼac,matʼáʔ,matʼáʔ,,3,matʼaʔ,matʼaʔ,,
3060,*matʼat,matʼáʔ,matʼáʔ,,3,matʼaʔ,matʼaʔ,Verb,bother with sole of foot
3061,*matʼehtim,matʼéhtimʔ,matʼéhtimʔ,,3,matʼehtimaw,matʼehtimʔ,,
3062,*matʼetʰma,matʼétʰmaw,matʼétʰmaw,,3,matʼetʰmaw,matʼetʰmaw,,
3063,matʼe·,matʼe·´,matʼe·´,,4,matʼe·,matʼe·,Noun,be uprooting by walking on
3064,*maṭihši,maṭíhšiw,maṭíhšiw,,3,maṭihšiw,maṭihšiw,Reduplicating Verb,break open with foot
